jtb_ts,jtb_db,symbol_ts,target_gene_ts,representative_transcript_ts,gene_name_ts,representative_mi_rna_ts,cumulative_weighted_context_score_ts,ensembl_ts,fold_change_ts,padj_ts,target_score_db,mirna_db,gene_symbol_db,gene_description_db,ensembl_db,symbol_db,fold_change_db,padj_db
wt_d1338,wt_d1338,Tsku,Tsku,ENSMUST00000165257.2,tsukushi ,mmu-miR-96-5p,-0.47,ENSMUSG00000049580.12,1.5030104,6.46938e-50,97,mmu-miR-96-5p,Tsku,"tsukushi, small leucine rich proteoglycan",ENSMUSG00000049580.12,Tsku,1.5030104,6.46938e-50
mf_wt,wt_d1338,Slc12a6,Slc12a6,ENSMUST00000028549.8,"solute carrier family 12, member 6 ",mmu-miR-96-5p,-0.45,ENSMUSG00000096764.1,367.3522,1.36258e-13,95,mmu-miR-96-5p,Slc12a6,"solute carrier family 12, member 6",ENSMUSG00000096764.1,Slc12a6,-1.6085275,5.27564e-05
wt_d1338,wt_d1338,Slc12a6,Slc12a6,ENSMUST00000028549.8,"solute carrier family 12, member 6 ",mmu-miR-96-5p,-0.45,ENSMUSG00000096764.1,-1.6085275,5.27564e-05,95,mmu-miR-96-5p,Slc12a6,"solute carrier family 12, member 6",ENSMUSG00000096764.1,Slc12a6,-1.6085275,5.27564e-05
,wt_d1338,,,,,,,,,,88,mmu-miR-96-5p,Nanos1,nanos C2HC-type zinc finger 1,ENSMUSG00000072437.4,Nanos1,-1.7668561,0.008075571
,wt_d1338,,,,,,,,,,96,mmu-miR-96-5p,Pde8b,phosphodiesterase 8B,ENSMUSG00000021684.17,Pde8b,-1.9191025,9.72909e-15
mf_wt,wt_d1338,Prrx1,Prrx1,ENSMUST00000075805.7,paired related homeobox 1 ,mmu-miR-96-5p,-0.47,ENSMUSG00000026586.16,4.234698,7.76947e-05,89,mmu-miR-96-5p,Prrx1,paired related homeobox 1,ENSMUSG00000026586.16,Prrx1,-1.9865,2.35867e-05
mf_d1338,wt_d1338,Prrx1,Prrx1,ENSMUST00000075805.7,paired related homeobox 1 ,mmu-miR-96-5p,-0.47,ENSMUSG00000026586.16,7.3707433,0.004047565,89,mmu-miR-96-5p,Prrx1,paired related homeobox 1,ENSMUSG00000026586.16,Prrx1,-1.9865,2.35867e-05
wt_d1338,wt_d1338,Prrx1,Prrx1,ENSMUST00000075805.7,paired related homeobox 1 ,mmu-miR-96-5p,-0.47,ENSMUSG00000026586.16,-1.9865,2.35867e-05,89,mmu-miR-96-5p,Prrx1,paired related homeobox 1,ENSMUSG00000026586.16,Prrx1,-1.9865,2.35867e-05
,wt_d1338,,,,,,,,,,84,mmu-miR-96-5p,Slco3a1,"solute carrier organic anion transporter family, member 3a1",ENSMUSG00000025790.14,Slco3a1,-2.0547116,4.05741e-78
,wt_d1338,,,,,,,,,,89,mmu-miR-96-5p,Rundc3b,RUN domain containing 3B,ENSMUSG00000040570.14,Rundc3b,-2.0895534,0.001431057
,wt_d1338,,,,,,,,,,92,mmu-miR-96-5p,Celsr1,"cadherin, EGF LAG seven-pass G-type receptor 1",ENSMUSG00000016028.10,Celsr1,-2.2352169,1.11524e-06
mf_wt,wt_d1338,Hbegf,Hbegf,ENSMUST00000025363.5,heparin-binding EGF-like growth factor ,mmu-miR-96-5p,-0.52,ENSMUSG00000024486.6,12.590953,2.37534e-21,95,mmu-miR-96-5p,Hbegf,heparin-binding EGF-like growth factor,ENSMUSG00000024486.6,Hbegf,-2.2722616,6.87939e-22
mf_d1338,wt_d1338,Hbegf,Hbegf,ENSMUST00000025363.5,heparin-binding EGF-like growth factor ,mmu-miR-96-5p,-0.52,ENSMUSG00000024486.6,29.866495,5.52e-17,95,mmu-miR-96-5p,Hbegf,heparin-binding EGF-like growth factor,ENSMUSG00000024486.6,Hbegf,-2.2722616,6.87939e-22
wt_d1338,wt_d1338,Hbegf,Hbegf,ENSMUST00000025363.5,heparin-binding EGF-like growth factor ,mmu-miR-96-5p,-0.52,ENSMUSG00000024486.6,-2.2722616,6.87939e-22,95,mmu-miR-96-5p,Hbegf,heparin-binding EGF-like growth factor,ENSMUSG00000024486.6,Hbegf,-2.2722616,6.87939e-22
,wt_d1338,,,,,,,,,,83,mmu-miR-96-5p,Bnip3,BCL2/adenovirus E1B interacting protein 3,ENSMUSG00000078566.8,Bnip3,-2.277343,1.52851e-37
,wt_d1338,,,,,,,,,,84,mmu-miR-96-5p,Slc38a4,"solute carrier family 38, member 4",ENSMUSG00000022464.14,Slc38a4,-2.300892,0.001922114
,wt_d1338,,,,,,,,,,92,mmu-miR-96-5p,Abhd18,abhydrolase domain containing 18,ENSMUSG00000037818.16,Abhd18,-2.5933652,4.01317e-28
,wt_d1338,,,,,,,,,,94,mmu-miR-96-5p,St6galnac3,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",ENSMUSG00000052544.9,St6galnac3,-2.662832,0.003986472
mf_wt,wt_d1338,Farp1,Farp1,ENSMUST00000026635.7,"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived) ",mmu-miR-96-5p,-0.5,ENSMUSG00000025555.14,10.585465,2.45668e-05,93,mmu-miR-96-5p,Farp1,"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived)",ENSMUSG00000025555.14,Farp1,-2.688648,3.02392e-07
wt_d1338,wt_d1338,Farp1,Farp1,ENSMUST00000026635.7,"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived) ",mmu-miR-96-5p,-0.5,ENSMUSG00000025555.14,-2.688648,3.02392e-07,93,mmu-miR-96-5p,Farp1,"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived)",ENSMUSG00000025555.14,Farp1,-2.688648,3.02392e-07
,wt_d1338,,,,,,,,,,83,mmu-miR-96-5p,H2-Q1,"histocompatibility 2, Q region locus 1",ENSMUSG00000079507.10,H2-Q1,-2.8023396,1.09723e-07
,wt_d1338,,,,,,,,,,95,mmu-miR-96-5p,Cnn3,"calponin 3, acidic",ENSMUSG00000053931.11,Cnn3,-3.5920794,1.5985e-238
wt_d1338,wt_d1338,Trib3,Trib3,ENSMUST00000040312.6,tribbles homolog 3 (Drosophila) ,mmu-miR-96-5p,-0.52,ENSMUSG00000032715.9,-3.610622,1.2974e-78,95,mmu-miR-96-5p,Trib3,tribbles pseudokinase 3,ENSMUSG00000032715.9,Trib3,-3.610622,1.2974e-78
,wt_d1338,,,,,,,,,,94,mmu-miR-96-5p,Plod2,"procollagen lysine, 2-oxoglutarate 5-dioxygenase 2",ENSMUSG00000032374.14,Plod2,-4.092765,1.924e-119
,mf_d1338,,,,,,,,,,93,mmu-miR-96-5p,Has2,hyaluronan synthase 2,ENSMUSG00000022367.7,Has2,77.35794,0.010373781
mf_wt,mf_d1338,Hbegf,Hbegf,ENSMUST00000025363.5,heparin-binding EGF-like growth factor ,mmu-miR-96-5p,-0.52,ENSMUSG00000024486.6,12.590953,2.37534e-21,95,mmu-miR-96-5p,Hbegf,heparin-binding EGF-like growth factor,ENSMUSG00000024486.6,Hbegf,29.866495,5.52e-17
mf_d1338,mf_d1338,Hbegf,Hbegf,ENSMUST00000025363.5,heparin-binding EGF-like growth factor ,mmu-miR-96-5p,-0.52,ENSMUSG00000024486.6,29.866495,5.52e-17,95,mmu-miR-96-5p,Hbegf,heparin-binding EGF-like growth factor,ENSMUSG00000024486.6,Hbegf,29.866495,5.52e-17
wt_d1338,mf_d1338,Hbegf,Hbegf,ENSMUST00000025363.5,heparin-binding EGF-like growth factor ,mmu-miR-96-5p,-0.52,ENSMUSG00000024486.6,-2.2722616,6.87939e-22,95,mmu-miR-96-5p,Hbegf,heparin-binding EGF-like growth factor,ENSMUSG00000024486.6,Hbegf,29.866495,5.52e-17
,mf_d1338,,,,,,,,,,85,mmu-miR-96-5p,Inava,innate immunity activator,ENSMUSG00000041605.16,Inava,17.35758,0.031286414
,mf_d1338,,,,,,,,,,90,mmu-miR-96-5p,Adgra2,adhesion G protein-coupled receptor A2,ENSMUSG00000031486.15,Adgra2,17.088104,0.022902363
,mf_d1338,,,,,,,,,,84,mmu-miR-96-5p,Slco3a1,"solute carrier organic anion transporter family, member 3a1",ENSMUSG00000025790.14,Slco3a1,11.04612,1.72848e-05
,mf_d1338,,,,,,,,,,87,mmu-miR-96-5p,Lrig1,leucine-rich repeats and immunoglobulin-like domains 1,ENSMUSG00000030029.14,Lrig1,9.912486,0.024014298
mf_wt,mf_d1338,Prrx1,Prrx1,ENSMUST00000075805.7,paired related homeobox 1 ,mmu-miR-96-5p,-0.47,ENSMUSG00000026586.16,4.234698,7.76947e-05,89,mmu-miR-96-5p,Prrx1,paired related homeobox 1,ENSMUSG00000026586.16,Prrx1,7.3707433,0.004047565
mf_d1338,mf_d1338,Prrx1,Prrx1,ENSMUST00000075805.7,paired related homeobox 1 ,mmu-miR-96-5p,-0.47,ENSMUSG00000026586.16,7.3707433,0.004047565,89,mmu-miR-96-5p,Prrx1,paired related homeobox 1,ENSMUSG00000026586.16,Prrx1,7.3707433,0.004047565
wt_d1338,mf_d1338,Prrx1,Prrx1,ENSMUST00000075805.7,paired related homeobox 1 ,mmu-miR-96-5p,-0.47,ENSMUSG00000026586.16,-1.9865,2.35867e-05,89,mmu-miR-96-5p,Prrx1,paired related homeobox 1,ENSMUSG00000026586.16,Prrx1,7.3707433,0.004047565
,mf_d1338,,,,,,,,,,81,mmu-miR-96-5p,Itga3,integrin alpha 3,ENSMUSG00000001507.16,Itga3,6.644418,0.013444616
,mf_d1338,,,,,,,,,,98,mmu-miR-96-5p,Palld,"palladin, cytoskeletal associated protein",ENSMUSG00000058056.16,Palld,6.543422,8.71218e-11
,mf_d1338,,,,,,,,,,95,mmu-miR-96-5p,Bcr,breakpoint cluster region,ENSMUSG00000009681.10,Bcr,4.9732203,1.39788e-05
,mf_d1338,,,,,,,,,,86,mmu-miR-96-5p,Slc7a8,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 8",ENSMUSG00000022180.7,Slc7a8,4.3369246,0.004559394
,mf_d1338,,,,,,,,,,81,mmu-miR-96-5p,Mfap3l,microfibrillar-associated protein 3-like,ENSMUSG00000031647.10,Mfap3l,4.3328733,0.001115116
,mf_d1338,,,,,,,,,,90,mmu-miR-96-5p,Tnfrsf1b,"tumor necrosis factor receptor superfamily, member 1b",ENSMUSG00000028599.10,Tnfrsf1b,4.203112,0.001339069
,mf_d1338,,,,,,,,,,82,mmu-miR-96-5p,Sort1,sortilin 1,ENSMUSG00000068747.14,Sort1,0.24970484,0.000506706
,mf_d1338,,,,,,,,,,81,mmu-miR-96-5p,Slc12a5,"solute carrier family 12, member 5",ENSMUSG00000017740.17,Slc12a5,0.24574924,0.018617283
,mf_d1338,,,,,,,,,,88,mmu-miR-96-5p,Kif19a,kinesin family member 19A,ENSMUSG00000010021.13,Kif19a,0.2361867,0.043195908
mf_d1338,mf_d1338,Adcy6,Adcy6,ENSMUST00000096224.4,adenylate cyclase 6 ,mmu-miR-96-5p,-0.58,ENSMUSG00000022994.9,0.2297701,0.007001797,99,mmu-miR-96-5p,Adcy6,adenylate cyclase 6,ENSMUSG00000022994.9,Adcy6,0.2297701,0.007001797
,mf_d1338,,,,,,,,,,84,mmu-miR-96-5p,Reps2,RALBP1 associated Eps domain containing protein 2,ENSMUSG00000040855.15,Reps2,0.19422607,0.036471662
,mf_d1338,,,,,,,,,,95,mmu-miR-96-5p,Fam171a1,"family with sequence similarity 171, member A1",ENSMUSG00000050530.14,Fam171a1,0.13810617,0.004040881
,mf_d1338,,,,,,,,,,81,mmu-miR-96-5p,Ednrb,endothelin receptor type B,ENSMUSG00000022122.15,Ednrb,0.11992334,2.01004e-10
mf_wt,mf_d1338,Rgs2,Rgs2,ENSMUST00000127206.2,regulator of G-protein signaling 2 ,mmu-miR-96-5p,-0.59,ENSMUSG00000026360.9,0.05254826,2.0345e-08,83,mmu-miR-96-5p,Rgs2,regulator of G-protein signaling 2,ENSMUSG00000026360.9,Rgs2,0.09542484,0.001065973
mf_d1338,mf_d1338,Rgs2,Rgs2,ENSMUST00000127206.2,regulator of G-protein signaling 2 ,mmu-miR-96-5p,-0.59,ENSMUSG00000026360.9,0.09542484,0.001065973,83,mmu-miR-96-5p,Rgs2,regulator of G-protein signaling 2,ENSMUSG00000026360.9,Rgs2,0.09542484,0.001065973
wt_d1338,mf_d1338,Rgs2,Rgs2,ENSMUST00000127206.2,regulator of G-protein signaling 2 ,mmu-miR-96-5p,-0.59,ENSMUSG00000026360.9,1.7544854,1.99981e-11,83,mmu-miR-96-5p,Rgs2,regulator of G-protein signaling 2,ENSMUSG00000026360.9,Rgs2,0.09542484,0.001065973
,mf_d1338,,,,,,,,,,84,mmu-miR-96-5p,Deptor,DEP domain containing MTOR-interacting protein,ENSMUSG00000022419.16,Deptor,0.09011155,1.09605e-09
mf_wt,mf_wt,Slc12a6,Slc12a6,ENSMUST00000028549.8,"solute carrier family 12, member 6 ",mmu-miR-96-5p,-0.45,ENSMUSG00000096764.1,367.3522,1.36258e-13,95,mmu-miR-96-5p,Slc12a6,"solute carrier family 12, member 6",ENSMUSG00000096764.1,Slc12a6,367.3522,1.36258e-13
wt_d1338,mf_wt,Slc12a6,Slc12a6,ENSMUST00000028549.8,"solute carrier family 12, member 6 ",mmu-miR-96-5p,-0.45,ENSMUSG00000096764.1,-1.6085275,5.27564e-05,95,mmu-miR-96-5p,Slc12a6,"solute carrier family 12, member 6",ENSMUSG00000096764.1,Slc12a6,367.3522,1.36258e-13
,mf_wt,,,,,,,,,,92,mmu-miR-96-5p,Celsr1,"cadherin, EGF LAG seven-pass G-type receptor 1",ENSMUSG00000016028.10,Celsr1,20.578611,5.73205e-06
mf_wt,mf_wt,Hbegf,Hbegf,ENSMUST00000025363.5,heparin-binding EGF-like growth factor ,mmu-miR-96-5p,-0.52,ENSMUSG00000024486.6,12.590953,2.37534e-21,95,mmu-miR-96-5p,Hbegf,heparin-binding EGF-like growth factor,ENSMUSG00000024486.6,Hbegf,12.590953,2.37534e-21
mf_d1338,mf_wt,Hbegf,Hbegf,ENSMUST00000025363.5,heparin-binding EGF-like growth factor ,mmu-miR-96-5p,-0.52,ENSMUSG00000024486.6,29.866495,5.52e-17,95,mmu-miR-96-5p,Hbegf,heparin-binding EGF-like growth factor,ENSMUSG00000024486.6,Hbegf,12.590953,2.37534e-21
wt_d1338,mf_wt,Hbegf,Hbegf,ENSMUST00000025363.5,heparin-binding EGF-like growth factor ,mmu-miR-96-5p,-0.52,ENSMUSG00000024486.6,-2.2722616,6.87939e-22,95,mmu-miR-96-5p,Hbegf,heparin-binding EGF-like growth factor,ENSMUSG00000024486.6,Hbegf,12.590953,2.37534e-21
,mf_wt,,,,,,,,,,84,mmu-miR-96-5p,Slc38a4,"solute carrier family 38, member 4",ENSMUSG00000022464.14,Slc38a4,11.703803,0.000142425
mf_wt,mf_wt,Farp1,Farp1,ENSMUST00000026635.7,"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived) ",mmu-miR-96-5p,-0.5,ENSMUSG00000025555.14,10.585465,2.45668e-05,93,mmu-miR-96-5p,Farp1,"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived)",ENSMUSG00000025555.14,Farp1,10.585465,2.45668e-05
wt_d1338,mf_wt,Farp1,Farp1,ENSMUST00000026635.7,"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived) ",mmu-miR-96-5p,-0.5,ENSMUSG00000025555.14,-2.688648,3.02392e-07,93,mmu-miR-96-5p,Farp1,"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived)",ENSMUSG00000025555.14,Farp1,10.585465,2.45668e-05
,mf_wt,,,,,,,,,,84,mmu-miR-96-5p,Slco3a1,"solute carrier organic anion transporter family, member 3a1",ENSMUSG00000025790.14,Slco3a1,8.877481,1.28384e-07
,mf_wt,,,,,,,,,,95,mmu-miR-96-5p,Cnn3,"calponin 3, acidic",ENSMUSG00000053931.11,Cnn3,6.28766,1.25527e-16
,mf_wt,,,,,,,,,,91,mmu-miR-96-5p,Ankib1,ankyrin repeat and IBR domain containing 1,ENSMUSG00000040351.11,Ankib1,6.148296,2.65423e-63
,mf_wt,,,,,,,,,,98,mmu-miR-96-5p,Tns3,tensin 3,ENSMUSG00000020422.14,Tns3,5.8486843,5.51533e-36
,mf_wt,,,,,,,,,,86,mmu-miR-96-5p,Slc7a8,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 8",ENSMUSG00000022180.7,Slc7a8,5.762703,6.3213e-08
,mf_wt,,,,,,,,,,87,mmu-miR-96-5p,Lrig1,leucine-rich repeats and immunoglobulin-like domains 1,ENSMUSG00000030029.14,Lrig1,5.4169044,0.005476207
,mf_wt,,,,,,,,,,90,mmu-miR-96-5p,Tnfrsf1b,"tumor necrosis factor receptor superfamily, member 1b",ENSMUSG00000028599.10,Tnfrsf1b,4.9060173,2.74129e-08
,mf_wt,,,,,,,,,,94,mmu-miR-96-5p,Plod2,"procollagen lysine, 2-oxoglutarate 5-dioxygenase 2",ENSMUSG00000032374.14,Plod2,4.8263445,0.000916887
,mf_wt,,,,,,,,,,89,mmu-miR-96-5p,Fem1b,feminization 1 homolog b (C. elegans),ENSMUSG00000032244.9,Fem1b,4.6143565,1.67968e-50
,mf_wt,,,,,,,,,,81,mmu-miR-96-5p,Mfap3l,microfibrillar-associated protein 3-like,ENSMUSG00000031647.10,Mfap3l,4.541962,9.31089e-08
,mf_wt,,,,,,,,,,81,mmu-miR-96-5p,Itga3,integrin alpha 3,ENSMUSG00000001507.16,Itga3,4.5036607,0.000441507
,mf_wt,,,,,,,,,,97,mmu-miR-96-5p,Sh3pxd2b,SH3 and PX domains 2B,ENSMUSG00000040711.8,Sh3pxd2b,4.3577743,6.49554e-40
,mf_wt,,,,,,,,,,82,mmu-miR-96-5p,B3gnt2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",ENSMUSG00000051650.11,B3gnt2,4.2962914,8.02907e-05
mf_wt,mf_wt,Prrx1,Prrx1,ENSMUST00000075805.7,paired related homeobox 1 ,mmu-miR-96-5p,-0.47,ENSMUSG00000026586.16,4.234698,7.76947e-05,89,mmu-miR-96-5p,Prrx1,paired related homeobox 1,ENSMUSG00000026586.16,Prrx1,4.234698,7.76947e-05
mf_d1338,mf_wt,Prrx1,Prrx1,ENSMUST00000075805.7,paired related homeobox 1 ,mmu-miR-96-5p,-0.47,ENSMUSG00000026586.16,7.3707433,0.004047565,89,mmu-miR-96-5p,Prrx1,paired related homeobox 1,ENSMUSG00000026586.16,Prrx1,4.234698,7.76947e-05
wt_d1338,mf_wt,Prrx1,Prrx1,ENSMUST00000075805.7,paired related homeobox 1 ,mmu-miR-96-5p,-0.47,ENSMUSG00000026586.16,-1.9865,2.35867e-05,89,mmu-miR-96-5p,Prrx1,paired related homeobox 1,ENSMUSG00000026586.16,Prrx1,4.234698,7.76947e-05
,mf_wt,,,,,,,,,,87,mmu-miR-96-5p,Olfm1,olfactomedin 1,ENSMUSG00000026833.18,Olfm1,0.23570313,3.97837e-19
