TargetScore,miRNA,GeneSymbol,GeneDescription
95,mmu-miR-466i-3p,Mbnl3,muscleblind like splicing factor 3
95,mmu-miR-466i-3p,Rnf152,ring finger protein 152
95,mmu-miR-466i-3p,Slc8a1,"solute carrier family 8 (sodium/calcium exchanger), member 1"
95,mmu-miR-466i-3p,Tent4b,terminal nucleotidyltransferase 4B
95,mmu-miR-466i-3p,Shb,src homology 2 domain-containing transforming protein B
95,mmu-miR-466i-3p,Kif5b,kinesin family member 5B
95,mmu-miR-466i-3p,Ncam2,neural cell adhesion molecule 2
94,mmu-miR-466i-3p,Ccna2,cyclin A2
94,mmu-miR-466i-3p,Ccnc,cyclin C
94,mmu-miR-466i-3p,Zdbf2,"zinc finger, DBF-type containing 2"
94,mmu-miR-466i-3p,Slc10a6,"solute carrier family 10 (sodium/bile acid cotransporter family), member 6"
94,mmu-miR-466i-3p,Slc4a7,"solute carrier family 4, sodium bicarbonate cotransporter, member 7"
94,mmu-miR-466i-3p,Mapk1ip1l,mitogen-activated protein kinase 1 interacting protein 1-like
94,mmu-miR-466i-3p,Manea,"mannosidase, endo-alpha"
94,mmu-miR-466i-3p,Vapa,"vesicle-associated membrane protein, associated protein A"
94,mmu-miR-466i-3p,Zfp808,zinc finger protein 808
94,mmu-miR-466i-3p,Fryl,FRY like transcription coactivator
94,mmu-miR-466i-3p,Prr3,proline-rich polypeptide 3
94,mmu-miR-466i-3p,Ino80d,INO80 complex subunit D
94,mmu-miR-466i-3p,Hlf,hepatic leukemia factor
94,mmu-miR-466i-3p,Snrk,SNF related kinase
94,mmu-miR-466i-3p,Mms22l,"MMS22-like, DNA repair protein"
94,mmu-miR-466i-3p,Sdhaf4,succinate dehydrogenase complex assembly factor 4
94,mmu-miR-466i-3p,Klc1,kinesin light chain 1
94,mmu-miR-466i-3p,Fbxo45,F-box protein 45
94,mmu-miR-466i-3p,Abca14,"ATP-binding cassette, sub-family A (ABC1), member 14"
94,mmu-miR-466i-3p,Raph1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
94,mmu-miR-466i-3p,Grb2,growth factor receptor bound protein 2
94,mmu-miR-466i-3p,Ebf2,early B cell factor 2
93,mmu-miR-466i-3p,Mettl27,methyltransferase like 27
93,mmu-miR-466i-3p,Erc1,ELKS/RAB6-interacting/CAST family member 1
93,mmu-miR-466i-3p,Il22ra1,"interleukin 22 receptor, alpha 1"
93,mmu-miR-466i-3p,Cdk6,cyclin-dependent kinase 6
93,mmu-miR-466i-3p,Psd3,pleckstrin and Sec7 domain containing 3
93,mmu-miR-466i-3p,Strbp,spermatid perinuclear RNA binding protein
93,mmu-miR-466i-3p,Rab1a,"RAB1A, member RAS oncogene family"
92,mmu-miR-466i-3p,Siah1a,siah E3 ubiquitin protein ligase 1A
92,mmu-miR-466i-3p,Efemp1,epidermal growth factor-containing fibulin-like extracellular matrix protein 1
92,mmu-miR-466i-3p,Ogfrl1,opioid growth factor receptor-like 1
92,mmu-miR-466i-3p,Trip12,thyroid hormone receptor interactor 12
92,mmu-miR-466i-3p,Nfe2l3,"nuclear factor, erythroid derived 2, like 3"
92,mmu-miR-466i-3p,Foxa1,forkhead box A1
92,mmu-miR-466i-3p,Elavl4,ELAV like RNA binding protein 4
92,mmu-miR-466i-3p,Xrcc4,X-ray repair complementing defective repair in Chinese hamster cells 4
91,mmu-miR-466i-3p,Edil3,EGF-like repeats and discoidin I-like domains 3
91,mmu-miR-466i-3p,Ssh2,slingshot protein phosphatase 2
91,mmu-miR-466i-3p,Zfp236,zinc finger protein 236
91,mmu-miR-466i-3p,Nufip2,nuclear fragile X mental retardation protein interacting protein 2
91,mmu-miR-466i-3p,Sytl4,synaptotagmin-like 4
91,mmu-miR-466i-3p,Nckap1,NCK-associated protein 1
91,mmu-miR-466i-3p,Adcyap1,adenylate cyclase activating polypeptide 1
91,mmu-miR-466i-3p,2310022A10Rik,RIKEN cDNA 2310022A10 gene
91,mmu-miR-466i-3p,Zdhhc21,"zinc finger, DHHC domain containing 21"
91,mmu-miR-466i-3p,Denr,density-regulated protein
91,mmu-miR-466i-3p,Snx30,sorting nexin family member 30
91,mmu-miR-466i-3p,Vav3,vav 3 oncogene
91,mmu-miR-466i-3p,Dsc3,desmocollin 3
91,mmu-miR-466i-3p,B3gnt2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"
91,mmu-miR-466i-3p,Klf6,Kruppel-like factor 6
91,mmu-miR-466i-3p,Tgs1,trimethylguanosine synthase 1
90,mmu-miR-466i-3p,Gucy1b1,"guanylate cyclase 1, soluble, beta 1"
90,mmu-miR-466i-3p,Slc25a27,"solute carrier family 25, member 27"
90,mmu-miR-466i-3p,Adamts9,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9"
90,mmu-miR-466i-3p,Sdcbp,syndecan binding protein
90,mmu-miR-466i-3p,Pappa,pregnancy-associated plasma protein A
90,mmu-miR-466i-3p,Sgcd,"sarcoglycan, delta (dystrophin-associated glycoprotein)"
90,mmu-miR-466i-3p,Rsbn1l,round spermatid basic protein 1-like
90,mmu-miR-466i-3p,Pcdh11x,protocadherin 11 X-linked
90,mmu-miR-466i-3p,4930568D16Rik,RIKEN cDNA 4930568D16 gene
90,mmu-miR-466i-3p,Tns3,tensin 3
90,mmu-miR-466i-3p,6720489N17Rik,RIKEN cDNA 6720489N17 gene
90,mmu-miR-466i-3p,Slc12a2,"solute carrier family 12, member 2"
90,mmu-miR-466i-3p,Bcl6,B cell leukemia/lymphoma 6
90,mmu-miR-466i-3p,Pid1,phosphotyrosine interaction domain containing 1
90,mmu-miR-466i-3p,A630001G21Rik,RIKEN cDNA A630001G21 gene
89,mmu-miR-466i-3p,Nrep,neuronal regeneration related protein
89,mmu-miR-466i-3p,Oxa1l,oxidase assembly 1-like
89,mmu-miR-466i-3p,Gm5141,predicted gene 5141
89,mmu-miR-466i-3p,9530068E07Rik,RIKEN cDNA 9530068E07 gene
89,mmu-miR-466i-3p,Pcdh18,protocadherin 18
89,mmu-miR-466i-3p,Srsf1,serine/arginine-rich splicing factor 1
89,mmu-miR-466i-3p,Dnajb4,DnaJ heat shock protein family (Hsp40) member B4
89,mmu-miR-466i-3p,Rora,RAR-related orphan receptor alpha
89,mmu-miR-466i-3p,Phf21a,PHD finger protein 21A
89,mmu-miR-466i-3p,Fam53c,"family with sequence similarity 53, member C"
89,mmu-miR-466i-3p,Herc2,HECT and RLD domain containing E3 ubiquitin protein ligase 2
89,mmu-miR-466i-3p,Nwd2,NACHT and WD repeat domain containing 2
89,mmu-miR-466i-3p,Dhx36,DEAH (Asp-Glu-Ala-His) box polypeptide 36
89,mmu-miR-466i-3p,Macf1,microtubule-actin crosslinking factor 1
89,mmu-miR-466i-3p,Klhl2,"kelch-like 2, Mayven"
89,mmu-miR-466i-3p,Pafah1b1,"platelet-activating factor acetylhydrolase, isoform 1b, subunit 1"
89,mmu-miR-466i-3p,Adat2,"adenosine deaminase, tRNA-specific 2"
88,mmu-miR-466i-3p,Dph3,diphthamine biosynthesis 3
88,mmu-miR-466i-3p,Rnf6,ring finger protein (C3H2C3 type) 6
88,mmu-miR-466i-3p,Gripap1,GRIP1 associated protein 1
88,mmu-miR-466i-3p,Foxf1,forkhead box F1
88,mmu-miR-466i-3p,Rnf19b,ring finger protein 19B
88,mmu-miR-466i-3p,Zswim5,zinc finger SWIM-type containing 5
88,mmu-miR-466i-3p,Pou2f1,"POU domain, class 2, transcription factor 1"
88,mmu-miR-466i-3p,Pik3ca,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
88,mmu-miR-466i-3p,Mcam,melanoma cell adhesion molecule
88,mmu-miR-466i-3p,Nup93,nucleoporin 93
88,mmu-miR-466i-3p,Atxn1,ataxin 1
88,mmu-miR-466i-3p,Klf15,Kruppel-like factor 15
88,mmu-miR-466i-3p,Tmem254a,transmembrane protein 254a
88,mmu-miR-466i-3p,Atp1b3,"ATPase, Na+/K+ transporting, beta 3 polypeptide"
88,mmu-miR-466i-3p,Herc6,hect domain and RLD 6
88,mmu-miR-466i-3p,Cadm3,cell adhesion molecule 3
88,mmu-miR-466i-3p,Lonrf1,LON peptidase N-terminal domain and ring finger 1
88,mmu-miR-466i-3p,Slc39a2,"solute carrier family 39 (zinc transporter), member 2"
88,mmu-miR-466i-3p,Rpap2,RNA polymerase II associated protein 2
88,mmu-miR-466i-3p,Ccdc169,coiled-coil domain containing 169
88,mmu-miR-466i-3p,Ube2d2b,ubiquitin-conjugating enzyme E2D 2B
88,mmu-miR-466i-3p,Wfdc12,WAP four-disulfide core domain 12
88,mmu-miR-466i-3p,Xrn2,5'-3' exoribonuclease 2
87,mmu-miR-466i-3p,Ptprk,"protein tyrosine phosphatase, receptor type, K"
87,mmu-miR-466i-3p,Iapp,islet amyloid polypeptide
87,mmu-miR-466i-3p,Mgat4c,"MGAT4 family, member C"
87,mmu-miR-466i-3p,Araf,"Araf proto-oncogene, serine/threonine kinase"
87,mmu-miR-466i-3p,Olig2,oligodendrocyte transcription factor 2
87,mmu-miR-466i-3p,Gpr50,G-protein-coupled receptor 50
87,mmu-miR-466i-3p,Prkaa2,"protein kinase, AMP-activated, alpha 2 catalytic subunit"
87,mmu-miR-466i-3p,Rai1,retinoic acid induced 1
87,mmu-miR-466i-3p,Ahctf1,AT hook containing transcription factor 1
87,mmu-miR-466i-3p,Zfp934,zinc finger protein 934
87,mmu-miR-466i-3p,Commd2,COMM domain containing 2
87,mmu-miR-466i-3p,Adam2,a disintegrin and metallopeptidase domain 2
87,mmu-miR-466i-3p,Adamts6,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6"
87,mmu-miR-466i-3p,Plpp1,phospholipid phosphatase 1
87,mmu-miR-466i-3p,Olfr77,olfactory receptor 77
87,mmu-miR-466i-3p,Lmbr1,limb region 1
87,mmu-miR-466i-3p,Acvr1,"activin A receptor, type 1"
87,mmu-miR-466i-3p,Brd8,bromodomain containing 8
87,mmu-miR-466i-3p,Elf1,E74-like factor 1
87,mmu-miR-466i-3p,Mat2b,"methionine adenosyltransferase II, beta"
87,mmu-miR-466i-3p,Sec22a,"SEC22 homolog A, vesicle trafficking protein"
86,mmu-miR-466i-3p,G3bp2,GTPase activating protein (SH3 domain) binding protein 2
86,mmu-miR-466i-3p,Arhgap12,Rho GTPase activating protein 12
86,mmu-miR-466i-3p,Top1,topoisomerase (DNA) I
86,mmu-miR-466i-3p,Lmx1a,LIM homeobox transcription factor 1 alpha
86,mmu-miR-466i-3p,Daam1,dishevelled associated activator of morphogenesis 1
86,mmu-miR-466i-3p,Pigl,"phosphatidylinositol glycan anchor biosynthesis, class L"
86,mmu-miR-466i-3p,Kdm2a,lysine (K)-specific demethylase 2A
86,mmu-miR-466i-3p,Adamts20,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20"
86,mmu-miR-466i-3p,Ranbp2,RAN binding protein 2
86,mmu-miR-466i-3p,Gpkow,G patch domain and KOW motifs
86,mmu-miR-466i-3p,Zeb1,zinc finger E-box binding homeobox 1
86,mmu-miR-466i-3p,Dact1,dishevelled-binding antagonist of beta-catenin 1
86,mmu-miR-466i-3p,Creb1,cAMP responsive element binding protein 1
86,mmu-miR-466i-3p,Gsk3b,glycogen synthase kinase 3 beta
86,mmu-miR-466i-3p,Sox5,SRY (sex determining region Y)-box 5
86,mmu-miR-466i-3p,Csrnp3,cysteine-serine-rich nuclear protein 3
86,mmu-miR-466i-3p,Zmym5,"zinc finger, MYM-type 5"
86,mmu-miR-466i-3p,Cacna2d2,"calcium channel, voltage-dependent, alpha 2/delta subunit 2"
86,mmu-miR-466i-3p,Usp2,ubiquitin specific peptidase 2
85,mmu-miR-466i-3p,Erg28,ergosterol biosynthesis 28
85,mmu-miR-466i-3p,Poglut1,protein O-glucosyltransferase 1
85,mmu-miR-466i-3p,Erp44,endoplasmic reticulum protein 44
85,mmu-miR-466i-3p,Epha4,Eph receptor A4
85,mmu-miR-466i-3p,Maml2,mastermind like transcriptional coactivator 2
85,mmu-miR-466i-3p,Usp27x,"ubiquitin specific peptidase 27, X chromosome"
85,mmu-miR-466i-3p,Pcdh10,protocadherin 10
85,mmu-miR-466i-3p,Kifc1,kinesin family member C1
85,mmu-miR-466i-3p,Nr2c2,"nuclear receptor subfamily 2, group C, member 2"
85,mmu-miR-466i-3p,Wt1,Wilms tumor 1 homolog
85,mmu-miR-466i-3p,Srgap2,SLIT-ROBO Rho GTPase activating protein 2
85,mmu-miR-466i-3p,Apc,"APC, WNT signaling pathway regulator"
85,mmu-miR-466i-3p,Cdc7,cell division cycle 7 (S. cerevisiae)
85,mmu-miR-466i-3p,Gnpat,glyceronephosphate O-acyltransferase
85,mmu-miR-466i-3p,Chd5,chromodomain helicase DNA binding protein 5
85,mmu-miR-466i-3p,Nr1d2,"nuclear receptor subfamily 1, group D, member 2"
85,mmu-miR-466i-3p,Ash1l,ASH1 like histone lysine methyltransferase
85,mmu-miR-466i-3p,Crh,corticotropin releasing hormone
85,mmu-miR-466i-3p,Slc23a2,"solute carrier family 23 (nucleobase transporters), member 2"
85,mmu-miR-466i-3p,Casz1,castor zinc finger 1
85,mmu-miR-466i-3p,Dennd5b,DENN/MADD domain containing 5B
84,mmu-miR-466i-3p,Gpr4,G protein-coupled receptor 4
84,mmu-miR-466i-3p,Ndufs2,NADH:ubiquinone oxidoreductase core subunit S2
84,mmu-miR-466i-3p,Ptbp2,polypyrimidine tract binding protein 2
84,mmu-miR-466i-3p,Amacr,alpha-methylacyl-CoA racemase
84,mmu-miR-466i-3p,Arid2,"AT rich interactive domain 2 (ARID, RFX-like)"
84,mmu-miR-466i-3p,Ube2k,ubiquitin-conjugating enzyme E2K
84,mmu-miR-466i-3p,Bpifc,BPI fold containing family C
84,mmu-miR-466i-3p,Runx1t1,RUNX1 translocation partner 1
84,mmu-miR-466i-3p,Tram1l1,translocation associated membrane protein 1-like 1
84,mmu-miR-466i-3p,Tmem178b,transmembrane protein 178B
84,mmu-miR-466i-3p,2010106E10Rik,RIKEN cDNA 2010106E10 gene
84,mmu-miR-466i-3p,Anxa10,annexin A10
84,mmu-miR-466i-3p,Sel1l,sel-1 suppressor of lin-12-like (C. elegans)
84,mmu-miR-466i-3p,Fam120a,"family with sequence similarity 120, member A"
84,mmu-miR-466i-3p,Ptbp1,polypyrimidine tract binding protein 1
84,mmu-miR-466i-3p,Fam171b,"family with sequence similarity 171, member B"
84,mmu-miR-466i-3p,Kdm7a,lysine (K)-specific demethylase 7A
84,mmu-miR-466i-3p,Msrb3,methionine sulfoxide reductase B3
84,mmu-miR-466i-3p,Kif27,kinesin family member 27
84,mmu-miR-466i-3p,Pex5,peroxisomal biogenesis factor 5
84,mmu-miR-466i-3p,Prkaa1,"protein kinase, AMP-activated, alpha 1 catalytic subunit"
84,mmu-miR-466i-3p,Sema4b,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B"
84,mmu-miR-466i-3p,Fermt2,fermitin family member 2
84,mmu-miR-466i-3p,Tbx5,T-box 5
84,mmu-miR-466i-3p,Slc6a15,"solute carrier family 6 (neurotransmitter transporter), member 15"
84,mmu-miR-466i-3p,Egr3,early growth response 3
84,mmu-miR-466i-3p,Inpp4b,"inositol polyphosphate-4-phosphatase, type II"
84,mmu-miR-466i-3p,Cep70,centrosomal protein 70
84,mmu-miR-466i-3p,Pigc,"phosphatidylinositol glycan anchor biosynthesis, class C"
84,mmu-miR-466i-3p,Slc15a1,"solute carrier family 15 (oligopeptide transporter), member 1"
84,mmu-miR-466i-3p,Akap10,A kinase (PRKA) anchor protein 10
83,mmu-miR-466i-3p,Glod4,glyoxalase domain containing 4
83,mmu-miR-466i-3p,Orc3,"origin recognition complex, subunit 3"
83,mmu-miR-466i-3p,Dnajc19,DnaJ heat shock protein family (Hsp40) member C19
83,mmu-miR-466i-3p,Mapre1,"microtubule-associated protein, RP/EB family, member 1"
83,mmu-miR-466i-3p,Pcsk2,proprotein convertase subtilisin/kexin type 2
83,mmu-miR-466i-3p,Tnpo1,transportin 1
83,mmu-miR-466i-3p,Nfxl1,"nuclear transcription factor, X-box binding-like 1"
83,mmu-miR-466i-3p,Tanc1,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1"
83,mmu-miR-466i-3p,Pard3,par-3 family cell polarity regulator
83,mmu-miR-466i-3p,Rab31,"RAB31, member RAS oncogene family"
83,mmu-miR-466i-3p,Ugt2b35,"UDP glucuronosyltransferase 2 family, polypeptide B35"
83,mmu-miR-466i-3p,Pde10a,phosphodiesterase 10A
83,mmu-miR-466i-3p,Rnf139,ring finger protein 139
83,mmu-miR-466i-3p,Tdrd3,tudor domain containing 3
83,mmu-miR-466i-3p,Pde3a,"phosphodiesterase 3A, cGMP inhibited"
83,mmu-miR-466i-3p,Zfp839,zinc finger protein 839
83,mmu-miR-466i-3p,Saa2,serum amyloid A 2
83,mmu-miR-466i-3p,Fam76b,"family with sequence similarity 76, member B"
83,mmu-miR-466i-3p,A130010J15Rik,RIKEN cDNA A130010J15 gene
83,mmu-miR-466i-3p,Slitrk5,"SLIT and NTRK-like family, member 5"
83,mmu-miR-466i-3p,Lhfpl4,lipoma HMGIC fusion partner-like protein 4
83,mmu-miR-466i-3p,Kdm5c,lysine (K)-specific demethylase 5C
83,mmu-miR-466i-3p,Sub1,SUB1 homolog (S. cerevisiae)
83,mmu-miR-466i-3p,Pik3r1,phosphoinositide-3-kinase regulatory subunit 1
83,mmu-miR-466i-3p,Qk,quaking
83,mmu-miR-466i-3p,2610002M06Rik,RIKEN cDNA 2610002M06 gene
83,mmu-miR-466i-3p,Ms4a6d,"membrane-spanning 4-domains, subfamily A, member 6D"
83,mmu-miR-466i-3p,Fut9,fucosyltransferase 9
83,mmu-miR-466i-3p,Rasgrp1,RAS guanyl releasing protein 1
82,mmu-miR-466i-3p,Suclg1,"succinate-CoA ligase, GDP-forming, alpha subunit"
82,mmu-miR-466i-3p,Tent5a,terminal nucleotidyltransferase 5A
82,mmu-miR-466i-3p,Parg,poly (ADP-ribose) glycohydrolase
82,mmu-miR-466i-3p,Synpo2,synaptopodin 2
82,mmu-miR-466i-3p,Ubxn7,UBX domain protein 7
82,mmu-miR-466i-3p,Zfp711,zinc finger protein 711
82,mmu-miR-466i-3p,Gm4791,predicted gene 4791
82,mmu-miR-466i-3p,Dhx40,DEAH (Asp-Glu-Ala-His) box polypeptide 40
82,mmu-miR-466i-3p,Gabrb2,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2"
82,mmu-miR-466i-3p,Diaph2,diaphanous related formin 2
82,mmu-miR-466i-3p,Wnk3,WNK lysine deficient protein kinase 3
82,mmu-miR-466i-3p,Kcnh5,"potassium voltage-gated channel, subfamily H (eag-related), member 5"
82,mmu-miR-466i-3p,Carmil1,capping protein regulator and myosin 1 linker 1
82,mmu-miR-466i-3p,Eri1,exoribonuclease 1
82,mmu-miR-466i-3p,Ran,"RAN, member RAS oncogene family"
82,mmu-miR-466i-3p,Dcx,doublecortin
82,mmu-miR-466i-3p,Trp53inp2,transformation related protein 53 inducible nuclear protein 2
82,mmu-miR-466i-3p,Mettl9,methyltransferase like 9
82,mmu-miR-466i-3p,Ptprb,"protein tyrosine phosphatase, receptor type, B"
82,mmu-miR-466i-3p,Epg5,ectopic P-granules autophagy protein 5 homolog (C. elegans)
82,mmu-miR-466i-3p,Vsx2,visual system homeobox 2
82,mmu-miR-466i-3p,Zfp882,zinc finger protein 882
82,mmu-miR-466i-3p,Ptbp3,polypyrimidine tract binding protein 3
81,mmu-miR-466i-3p,Wdr43,WD repeat domain 43
81,mmu-miR-466i-3p,Taf4b,TATA-box binding protein associated factor 4b
81,mmu-miR-466i-3p,D330045A20Rik,RIKEN cDNA D330045A20 gene
81,mmu-miR-466i-3p,Ids,iduronate 2-sulfatase
81,mmu-miR-466i-3p,Serpinb1b,"serine (or cysteine) peptidase inhibitor, clade B, member 1b"
81,mmu-miR-466i-3p,Cntn3,contactin 3
81,mmu-miR-466i-3p,Tiam1,T cell lymphoma invasion and metastasis 1
81,mmu-miR-466i-3p,Wrb,tryptophan rich basic protein
81,mmu-miR-466i-3p,Rnf217,ring finger protein 217
81,mmu-miR-466i-3p,Yme1l1,YME1-like 1 (S. cerevisiae)
81,mmu-miR-466i-3p,Jag2,jagged 2
81,mmu-miR-466i-3p,Tc2n,"tandem C2 domains, nuclear"
81,mmu-miR-466i-3p,Klrb1c,killer cell lectin-like receptor subfamily B member 1C
81,mmu-miR-466i-3p,Fam204a,"family with sequence similarity 204, member A"
81,mmu-miR-466i-3p,Nemp2,nuclear envelope integral membrane protein 2
81,mmu-miR-466i-3p,Dock1,dedicator of cytokinesis 1
81,mmu-miR-466i-3p,Saa1,serum amyloid A 1
81,mmu-miR-466i-3p,Dpysl2,dihydropyrimidinase-like 2
81,mmu-miR-466i-3p,Zfp706,zinc finger protein 706
80,mmu-miR-466i-3p,Pwwp2a,PWWP domain containing 2A
80,mmu-miR-466i-3p,Mrpl39,mitochondrial ribosomal protein L39
80,mmu-miR-466i-3p,R3hdm1,R3H domain containing 1
80,mmu-miR-466i-3p,Arl5b,ADP-ribosylation factor-like 5B
80,mmu-miR-466i-3p,Wdr59,WD repeat domain 59
80,mmu-miR-466i-3p,Cntln,"centlein, centrosomal protein"
80,mmu-miR-466i-3p,Ccdc62,coiled-coil domain containing 62
80,mmu-miR-466i-3p,Tmeff2,transmembrane protein with EGF-like and two follistatin-like domains 2
80,mmu-miR-466i-3p,Cpne8,copine VIII
80,mmu-miR-466i-3p,Wnt1,"wingless-type MMTV integration site family, member 1"
80,mmu-miR-466i-3p,Clec2g,"C-type lectin domain family 2, member g"
80,mmu-miR-466i-3p,Dip2b,disco interacting protein 2 homolog B
80,mmu-miR-466i-3p,Donson,downstream neighbor of SON
80,mmu-miR-466i-3p,Nif3l1,Ngg1 interacting factor 3-like 1 (S. pombe)
80,mmu-miR-466i-3p,Sept3,septin 3
80,mmu-miR-466i-3p,Nbeal1,neurobeachin like 1
80,mmu-miR-466i-3p,Tpcn1,two pore channel 1
80,mmu-miR-466i-3p,Hexim2,hexamethylene bis-acetamide inducible 2
80,mmu-miR-466i-3p,Ikzf5,IKAROS family zinc finger 5
80,mmu-miR-466i-3p,Bend6,BEN domain containing 6
79,mmu-miR-466i-3p,Tasp1,"taspase, threonine aspartase 1"
79,mmu-miR-466i-3p,Gon7,"GON7, KEOPS complex subunit homolog"
79,mmu-miR-466i-3p,Btbd1,BTB (POZ) domain containing 1
79,mmu-miR-466i-3p,Sec24a,"Sec24 related gene family, member A (S. cerevisiae)"
79,mmu-miR-466i-3p,Il11ra2,"interleukin 11 receptor, alpha chain 2"
79,mmu-miR-466i-3p,Arid1b,AT rich interactive domain 1B (SWI-like)
79,mmu-miR-466i-3p,Wdr47,WD repeat domain 47
79,mmu-miR-466i-3p,Nalcn,"sodium leak channel, non-selective"
79,mmu-miR-466i-3p,Tsc22d2,"TSC22 domain family, member 2"
79,mmu-miR-466i-3p,Ptgfrn,prostaglandin F2 receptor negative regulator
79,mmu-miR-466i-3p,Tex12,testis expressed 12
79,mmu-miR-466i-3p,Csnk1e,"casein kinase 1, epsilon"
79,mmu-miR-466i-3p,Sptbn1,"spectrin beta, non-erythrocytic 1"
79,mmu-miR-466i-3p,Ccdc137,coiled-coil domain containing 137
79,mmu-miR-466i-3p,Ets2,"E26 avian leukemia oncogene 2, 3' domain"
79,mmu-miR-466i-3p,Hipk1,homeodomain interacting protein kinase 1
