ENSEMBL;symbol;FoldChange;padj
ENSMUSG00000029641.8;Rasl11a;27.63003517;0.034142136
ENSMUSG00000047562.3;Mmp10;27.56529816;1.54775E-06
ENSMUSG00000047884.6;Klk9;27.07852757;0.000114407
ENSMUSG00000031375.17;Bgn;26.56191233;2.80997E-07
ENSMUSG00000030772.6;Dkk3;26.35052149;0.000158623
ENSMUSG00000001506.10;Col1a1;26.31410677;1.46809E-07
ENSMUSG00000007888.15;Crlf1;25.3903439;0.009338501
ENSMUSG00000056427.10;Slit3;25.18596642;0.000269255
ENSMUSG00000030022.14;Adamts9;24.90249266;0.005920706
ENSMUSG00000029377.5;Ereg;24.8177025;5.01824E-10
ENSMUSG00000028464.16;Tpm2;24.56642487;7.85346E-08
ENSMUSG00000016524.12;Il19;24.42443563;0.000330612
ENSMUSG00000074345.4;Tnfaip8l3;23.60306817;0.001460981
ENSMUSG00000057604.9;Lmcd1;23.44155988;0.020604485
ENSMUSG00000033174.17;Mgll;22.9628819;0.00771348
ENSMUSG00000029661.16;Col1a2;22.84299787;1.12448E-11
ENSMUSG00000017737.2;Mmp9;22.79997369;0.000111512
ENSMUSG00000035357.17;Pdzrn3;22.73161825;0.011008829
ENSMUSG00000068699.12;Flnc;22.44065049;1.9806E-06
ENSMUSG00000042367.12;Gjb3;22.20749951;0.010580593
ENSMUSG00000000805.18;Car4;22.03155678;0.0088804
ENSMUSG00000026042.16;Col5a2;21.99268241;1.0013E-08
ENSMUSG00000004891.16;Nes;21.85952205;2.89646E-06
ENSMUSG00000070436.12;Serpinh1;21.73715306;3.15703E-09
ENSMUSG00000027562.12;Car2;21.64197092;1.50116E-07
ENSMUSG00000005124.10;Ccn4;21.63429223;0.012452028
ENSMUSG00000033213.16;AA467197;21.6181305;0.000111624
ENSMUSG00000015652.9;Steap1;21.56604452;1.05525E-05
ENSMUSG00000051378.10;Kif18b;21.48970518;0.003755983
ENSMUSG00000029875.5;Ccdc184;21.3847027;1.68922E-07
ENSMUSG00000030116.14;Mfap5;21.28369058;0.046371468
ENSMUSG00000057135.12;Scimp;21.13649565;1.02506E-06
ENSMUSG00000001555.10;Fkbp10;20.99632289;8.5578E-07
ENSMUSG00000002020.15;Ltbp2;20.91061903;3.51288E-07
ENSMUSG00000039542.16;Ncam1;20.25056423;0.042764871
ENSMUSG00000018930.3;Ccl4;20.00381002;5.77912E-16
ENSMUSG00000003657.9;Calb2;20.00295394;0.005565263
ENSMUSG00000001403.13;Ube2c;19.95595827;4.32691E-08
ENSMUSG00000004098.7;Col5a3;19.60816388;0.001545136
ENSMUSG00000049598.9;Vsig8;19.45528652;9.89358E-14
ENSMUSG00000022015.8;Tnfsf11;19.39811806;0.000804628
ENSMUSG00000000753.15;Serpinf1;19.31593683;3.22047E-07
ENSMUSG00000026837.16;Col5a1;19.03459969;3.20798E-10
ENSMUSG00000034675.17;Dbn1;19.01151894;5.84189E-09
ENSMUSG00000034311.3;Kif4;18.98414913;0.001321475
ENSMUSG00000028364.15;Tnc;18.89382504;0.000835383
ENSMUSG00000021760.5;Gpx8;18.82377281;0.014232968
ENSMUSG00000029108.14;Pcdh7;18.69401005;0.000120312
ENSMUSG00000033149.17;Phldb2;18.58692909;0.0001414
ENSMUSG00000024304.14;Cdh2;18.49345688;0.008102173
ENSMUSG00000049109.15;Themis;18.42844288;0.000232218
ENSMUSG00000041734.15;Kirrel;18.37520023;0.013012241
ENSMUSG00000039396.11;Neil3;18.29958453;0.036680896
ENSMUSG00000038859.7;Baiap2l1;18.133504;0.048710663
ENSMUSG00000031520.6;Vegfc;18.09380814;0.000214194
ENSMUSG00000020641.16;Rsad2;18.07345345;5.66202E-10
ENSMUSG00000018341.12;Il12rb2;18.05042793;0.023409725
ENSMUSG00000028776.14;Tinagl1;18.02449729;0.000174996
ENSMUSG00000023959.10;Clic5;17.82962856;2.36856E-05
ENSMUSG00000022322.8;Shcbp1;17.74055347;0.000779655
ENSMUSG00000018593.13;Sparc;17.73941074;2.64167E-07
ENSMUSG00000036256.13;Igfbp7;17.72196346;0.000119579
ENSMUSG00000061048.8;Cdh3;17.69943183;0.035887318
ENSMUSG00000049093.9;Il23r;17.56447142;0.017378178
ENSMUSG00000041347.5;Bdkrb1;17.54981916;0.00143948
ENSMUSG00000032332.17;Col12a1;17.44451622;0.000287083
ENSMUSG00000041605.16;Inava;17.35758101;0.031286414
ENSMUSG00000027204.13;Fbn1;17.35168964;0.000375343
ENSMUSG00000017724.14;Etv4;17.25828051;0.042937488
ENSMUSG00000050395.8;Tnfsf15;17.08975978;0.048954264
ENSMUSG00000031486.15;Adgra2;17.08810412;0.022902363
ENSMUSG00000045573.9;Penk;16.99563268;1.4973E-13
ENSMUSG00000027654.2;Fam83d;16.84125195;0.016276746
ENSMUSG00000022816.11;Fstl1;16.78370866;7.49587E-06
ENSMUSG00000020674.17;Pxdn;16.71844215;0.016090369
ENSMUSG00000049723.14;Mmp12;16.63242319;1.82757E-08
ENSMUSG00000021070.6;Bdkrb2;16.53538256;0.000293756
ENSMUSG00000027800.14;Tm4sf1;16.33686442;6.45128E-06
ENSMUSG00000004885.5;Crabp2;16.3363418;5.81174E-05
ENSMUSG00000020176.17;Grb10;16.31333796;1.96393E-05
ENSMUSG00000074934.3;Grem1;16.28822739;0.022509826
ENSMUSG00000032024.10;Clmp;16.26358438;0.000645098
ENSMUSG00000043613.8;Mmp3;16.11449049;0.000120312
ENSMUSG00000030789.9;Itgax;15.67142814;1.31809E-21
ENSMUSG00000070348.5;Ccnd1;15.65358326;0.004915224
ENSMUSG00000016529.5;Il10;15.442817;0.000695871
ENSMUSG00000043099.4;Hic1;15.38116677;2.26253E-08
ENSMUSG00000027797.15;Dclk1;15.18578593;0.029874759
ENSMUSG00000037202.6;Prf1;15.08379331;0.021902598
ENSMUSG00000045932.12;Ifit2;15.07287336;4.89264E-06
ENSMUSG00000020473.13;Aebp1;14.95679015;9.71465E-08
ENSMUSG00000044927.6;H1f10;14.7996936;0.00164203
ENSMUSG00000022584.14;Ly6c2;14.63869504;0.000680577
ENSMUSG00000020638.8;Cmpk2;14.12412556;1.79213E-13
ENSMUSG00000025746.11;Il6;14.067088;0.002455419
ENSMUSG00000029710.15;Ephb4;14.06206174;0.006745431
ENSMUSG00000029648.13;Flt1;13.98652181;1.05525E-05
ENSMUSG00000024538.8;Ppic;13.74653441;9.20989E-07
ENSMUSG00000021200.14;Asb2;13.67043377;0.000992158
ENSMUSG00000038963.15;Slco4a1;13.5604163;3.67773E-05
ENSMUSG00000072941.5;Sod3;13.41307749;0.000120312
ENSMUSG00000030167.15;Klrc1;13.37495106;0.028333687
ENSMUSG00000032530.14;Lyzl4;13.34401677;0.011502272
ENSMUSG00000027859.10;Ngf;13.22300892;0.004002194
ENSMUSG00000016458.14;Wt1;13.13922445;0.027684931
ENSMUSG00000002055.9;Spag5;13.12013046;0.000654188
ENSMUSG00000000982.5;Ccl3;13.02247184;3.27478E-18
ENSMUSG00000041481.17;Serpina3g;12.88944644;0.006652418
ENSMUSG00000029378.5;Areg;12.87246527;0.00771348
ENSMUSG00000027715.9;Ccna2;12.82118979;3.33711E-08
ENSMUSG00000032334.10;Loxl1;12.77253286;0.049571474
ENSMUSG00000023224.12;Serping1;12.72895894;0.004258329
ENSMUSG00000027962.14;Vcam1;12.63364896;1.39788E-09
ENSMUSG00000022425.16;Enpp2;12.6031241;0.000242007
ENSMUSG00000033295.14;Ptprf;12.51962112;0.000379529
ENSMUSG00000055639.16;Dach1;12.49512066;5.61259E-09
ENSMUSG00000064080.12;Fbln2;12.49335316;3.51684E-06
ENSMUSG00000033967.4;Rnf225;12.38143087;0.005837447
ENSMUSG00000030770.15;Parva;12.18807352;1.22159E-05
ENSMUSG00000058420.8;Syt17;12.18719746;0.004790214
ENSMUSG00000034459.8;Ifit1;12.08463277;3.69637E-05
ENSMUSG00000035413.8;Tmem98;12.0195612;0.042771041
ENSMUSG00000020911.14;Krt19;11.93948665;0.006459037
ENSMUSG00000006931.15;P3h4;11.80556096;0.000707343
ENSMUSG00000020649.11;Rrm2;11.75892871;0.000212618
ENSMUSG00000016918.15;Sulf1;11.69416409;0.006013925
ENSMUSG00000030114.8;Klrg1;11.66633684;0.035239351
ENSMUSG00000019929.16;Dcn;11.62902763;7.69393E-10
ENSMUSG00000024402.5;Lta;11.55291891;0.037641912
ENSMUSG00000032487.8;Ptgs2;11.36916201;3.1411E-10
ENSMUSG00000026984.4;Il1f6;11.35395097;0.022902363
ENSMUSG00000006342.15;Susd2;11.31871399;0.008343549
ENSMUSG00000050370.5;Ch25h;11.11998049;0.01326769
ENSMUSG00000037418.6;Best1;11.11469718;4.45063E-09
ENSMUSG00000014776.7;Nol3;11.09350959;0.000992158
ENSMUSG00000003863.18;Ppfia3;11.08021806;2.41945E-09
ENSMUSG00000028362.2;Tnfsf8;11.07138253;4.37285E-05
ENSMUSG00000025790.14;Slco3a1;11.04611946;1.72848E-05
ENSMUSG00000026249.10;Serpine2;11.02280628;0.000808646
ENSMUSG00000028037.13;Ifi44;11.01877147;2.80997E-07
ENSMUSG00000068246.6;Apol9b;10.96889199;0.000111141
ENSMUSG00000039384.8;Dusp10;10.94546099;2.7832E-11
ENSMUSG00000090125.3;Pou3f1;10.87812282;0.034142136
ENSMUSG00000059901.12;Adamts14;10.85679255;0.00127694
ENSMUSG00000074457.10;S100a16;10.83849697;0.019410965
ENSMUSG00000020256.14;Aldh1l2;10.83790543;0.03968673
ENSMUSG00000032254.10;Kif23;10.69683842;6.05283E-05
ENSMUSG00000025889.13;Snca;10.65238302;0.02413659
ENSMUSG00000032014.6;Oaf;10.61650256;5.44945E-06
ENSMUSG00000032845.16;Alpk2;10.54997055;0.000333193
ENSMUSG00000024665.8;Fads2;10.52957305;0.010781629
ENSMUSG00000029207.16;Apbb2;10.47025579;3.54734E-08
ENSMUSG00000020914.17;Top2a;10.44870526;0.00124563
ENSMUSG00000022304.13;Dpys;10.34440821;0.009547275
ENSMUSG00000036777.8;Anln;10.31845045;0.0088804
ENSMUSG00000027306.15;Nusap1;10.23325756;0.000120312
ENSMUSG00000028718.16;Stil;10.19844534;0.022820183
ENSMUSG00000022995.16;Enah;10.16063696;0.01277775
ENSMUSG00000057346.12;Apol9a;10.07150104;0.000905298
ENSMUSG00000022661.14;Cd200;10.05277851;4.27065E-14
ENSMUSG00000035692.7;Isg15;10.04813119;1.33288E-07
ENSMUSG00000004044.9;Cavin1;10.02395725;7.48656E-05
ENSMUSG00000028702.15;Rad54l;10.00700901;0.02010936
ENSMUSG00000041548.4;Hspb8;10.00475289;0.005920706
ENSMUSG00000030029.14;Lrig1;9.912485672;0.024014298
ENSMUSG00000026981.15;Il1rn;9.858727533;1.24724E-05
ENSMUSG00000004105.8;Angptl2;9.824972832;0.000212618
ENSMUSG00000068227.9;Il2rb;9.814449759;0.038221148
ENSMUSG00000023341.15;Mx2;9.713232487;9.3623E-17
ENSMUSG00000042345.15;Ubash3a;9.587396332;0.000375343
ENSMUSG00000001444.2;Tbx21;9.581841316;0.041579672
ENSMUSG00000041957.15;Pkp2;9.579011961;0.040687845
ENSMUSG00000030281.16;Il17rc;9.549935113;0.028543643
ENSMUSG00000000817.10;Fasl;9.476580316;0.035135353
ENSMUSG00000068129.5;Cst7;9.374500318;0.014149864
ENSMUSG00000028763.18;Hspg2;9.301711003;2.82865E-10
ENSMUSG00000023274.14;Cd4;9.301400215;0.017041163
ENSMUSG00000028678.13;Kif2c;9.202673722;0.013603096
ENSMUSG00000071716.5;Apol7e;9.122506636;0.005306939
ENSMUSG00000032561.15;Acpp;9.016042455;9.60082E-17
ENSMUSG00000000791.9;Il12rb1;8.944989692;0.002113271
ENSMUSG00000033581.17;Igf2bp2;8.923010331;4.95108E-07
ENSMUSG00000009376.15;Met;8.901656361;0.010879754
ENSMUSG00000105504.4;Gbp5;8.671508909;0.002054876
ENSMUSG00000029664.10;Tfpi2;8.660577167;0.043256967
ENSMUSG00000030162.14;Olr1;8.648601806;1.0013E-08
ENSMUSG00000028128.13;F3;8.622417319;4.2741E-10
ENSMUSG00000029223.12;Uchl1;8.618695184;0.005310234
ENSMUSG00000074896.3;Ifit3;8.610412938;1.50116E-07
ENSMUSG00000022687.12;Boc;8.560819695;0.000226248
ENSMUSG00000000489.7;Pdgfb;8.555304614;3.54734E-08
ENSMUSG00000038521.17;C1s1;8.528344998;1.42853E-05
ENSMUSG00000020205.8;Phlda1;8.518869687;0.000835383
ENSMUSG00000027379.13;Bub1;8.503757156;0.010257291
ENSMUSG00000037474.13;Dtl;8.420822129;0.002262399
ENSMUSG00000024670.17;Cd6;8.414427963;0.043664439
ENSMUSG00000078921.3;Tgtp2;8.40169061;0.010117626
ENSMUSG00000011256.16;Adam19;8.390751237;0.005920706
ENSMUSG00000039646.5;Vasn;8.387848654;1.03877E-08
ENSMUSG00000022586.11;Ly6i;8.362590459;0.007716674
ENSMUSG00000049804.9;Armcx4;8.293920893;3.46613E-07
ENSMUSG00000006398.15;Cdc20;8.288987877;5.3882E-06
ENSMUSG00000065947.3;ND4L;8.278930335;0.022952719
ENSMUSG00000037225.13;Fgf2;8.277927388;0.008764614
ENSMUSG00000054203.7;Ifi205;8.215027062;0.002596306
ENSMUSG00000021403.3;Serpinb9b;8.197822938;5.94128E-08
ENSMUSG00000029304.14;Spp1;8.177312351;0.016898079
ENSMUSG00000045328.11;Cenpe;8.145320826;0.007060255
ENSMUSG00000028517.8;Plpp3;8.107045848;0.000297698
ENSMUSG00000000903.3;Vpreb3;8.078358341;0.036785563
ENSMUSG00000015316.11;Slamf1;8.014067492;0.000215705
ENSMUSG00000054675.5;Tmem119;7.973684291;0.01523374
ENSMUSG00000021485.14;Mxd3;7.92761176;0.036785563
ENSMUSG00000038128.7;Camk4;7.902231827;0.049571474
ENSMUSG00000022303.9;Dcstamp;7.898492793;5.48377E-05
ENSMUSG00000026068.11;Il18rap;7.723329274;0.011696371
ENSMUSG00000056290.16;Ms4a4b;7.693517053;0.016323487
ENSMUSG00000070501.14;Ifi214;7.691951439;0.003729856
ENSMUSG00000038379.15;Ttk;7.675198332;0.034307129
ENSMUSG00000003779.16;Kif20a;7.641761859;0.004109213
ENSMUSG00000032380.9;Dapk2;7.636968652;0.009854365
ENSMUSG00000003534.17;Ddr1;7.62208131;0.00925379
ENSMUSG00000041827.15;Oasl1;7.575068171;3.1955E-07
ENSMUSG00000038244.14;Mical2;7.569939211;0.000423333
ENSMUSG00000055320.17;Tead1;7.550600772;0.002833273
ENSMUSG00000044701.5;Il27;7.530618287;0.000375343
ENSMUSG00000028270.12;Gbp2;7.485423464;0.00670603
ENSMUSG00000048327.6;Ckap2l;7.415064842;0.002744739
ENSMUSG00000068101.11;Cenpm;7.374442391;0.02551716
ENSMUSG00000026586.16;Prrx1;7.370743304;0.004047565
ENSMUSG00000027323.10;Rad51;7.361719192;0.046371468
ENSMUSG00000012443.4;Kif11;7.32759739;0.000170995
ENSMUSG00000027199.14;Gatm;7.324282436;0.000950801
ENSMUSG00000054568.7;Usp17la;7.275866714;0.017685574
ENSMUSG00000040204.6;Pclaf;7.273688983;0.000333193
ENSMUSG00000020826.9;Nos2;7.242423913;0.002557227
ENSMUSG00000021822.3;Plau;7.215311662;2.524E-05
ENSMUSG00000034220.7;Gpc1;7.168242026;3.1955E-07
ENSMUSG00000034394.14;Lif;7.109085233;3.03251E-07
ENSMUSG00000031502.11;Col4a1;7.073984779;1.66235E-08
ENSMUSG00000022505.9;Emp2;7.028597489;0.002510136
ENSMUSG00000027347.18;Rasgrp1;6.972975328;0.000125658
ENSMUSG00000015053.14;Gata2;6.954867102;0.000964149
ENSMUSG00000078616.2;Trim30c;6.832101651;0.00029622
ENSMUSG00000021765.9;Fst;6.78695909;0.049571474
ENSMUSG00000003153.10;Slc2a3;6.779977395;0.019659985
ENSMUSG00000023232.17;Serinc2;6.778679556;0.005515911
ENSMUSG00000027669.14;Gnb4;6.734744298;9.64804E-07
ENSMUSG00000001507.16;Itga3;6.644417817;0.013444616
ENSMUSG00000037849.8;Ifi206;6.610479682;0.000151519
ENSMUSG00000027030.15;Stk39;6.600240794;0.013666265
ENSMUSG00000026117.10;Zap70;6.591793234;0.036014847
ENSMUSG00000028268.14;Gbp3;6.580727565;0.002099402
ENSMUSG00000079523.8;Tmsb10;6.555546565;0.001446924
ENSMUSG00000036225.15;Kctd1;6.55046738;0.009338501
ENSMUSG00000058056.16;Palld;6.543422357;8.71218E-11
ENSMUSG00000026043.18;Col3a1;6.540842432;0.003860196
ENSMUSG00000031503.13;Col4a2;6.48755829;0.001889849
ENSMUSG00000032714.6;Syde1;6.459471192;0.025094558
ENSMUSG00000046610.15;Oacyl;6.458034328;0.024955702
ENSMUSG00000051748.2;Wfdc21;6.445017623;3.40672E-05
ENSMUSG00000050896.12;Rtn4rl2;6.430420578;0.000237967
ENSMUSG00000032387.15;Rbpms2;6.424224373;0.001194616
ENSMUSG00000028937.14;Acot7;6.420142095;0.000484226
ENSMUSG00000055013.16;Agap1;6.415356763;2.10338E-06
ENSMUSG00000035107.13;Dcbld2;6.369047818;4.7071E-05
ENSMUSG00000021508.11;Cxcl14;6.347857899;0.000113216
ENSMUSG00000017716.15;Birc5;6.325352328;0.001467056
ENSMUSG00000015880.13;Ncapg;6.291361691;0.017072365
ENSMUSG00000005125.13;Ndrg1;6.262646405;0.032113892
ENSMUSG00000036768.6;Kif15;6.22030208;0.01033189
ENSMUSG00000032688.9;Malt1;6.218325094;2.83609E-08
ENSMUSG00000052485.7;Tmem171;6.17636611;0.000360407
ENSMUSG00000020439.17;Smtn;6.134884723;8.72509E-05
ENSMUSG00000020689.4;Itgb3;6.119785487;0.048956523
ENSMUSG00000028583.14;Pdpn;6.082061516;0.007309688
ENSMUSG00000030406.7;Gipr;6.013023153;0.030213123
ENSMUSG00000031596.15;Slc7a2;6.000417826;0.028333687
ENSMUSG00000029380.11;Cxcl1;5.909525488;0.000475697
ENSMUSG00000073491.11;Ifi213;5.86154575;6.39078E-05
ENSMUSG00000019539.11;Rcn3;5.857837277;0.005899403
ENSMUSG00000027646.15;Src;5.856346668;0.026702085
ENSMUSG00000029798.11;Herc6;5.845798137;1.21802E-06
ENSMUSG00000033470.12;Cysltr2;5.79443;0.043256967
ENSMUSG00000031530.6;Dusp4;5.792061198;0.002421641
ENSMUSG00000053318.7;Slamf8;5.768784717;5.26829E-05
ENSMUSG00000032482.9;Cspg5;5.764955553;0.032519156
ENSMUSG00000029070.9;Mxra8;5.740434792;0.002796809
ENSMUSG00000019942.13;Cdk1;5.69372852;0.000736686
ENSMUSG00000031227.8;Magee1;5.681150675;7.20968E-05
ENSMUSG00000034612.7;Chst11;5.671173454;2.66621E-05
ENSMUSG00000015568.16;Lpl;5.665753229;0.000324976
ENSMUSG00000040274.11;Cdk6;5.653970585;0.001186409
ENSMUSG00000062488.9;Ifit3b;5.613125855;0.002333282
ENSMUSG00000001228.14;Uhrf1;5.609417281;0.00478632
ENSMUSG00000032786.16;Alas1;5.53624545;5.34387E-06
ENSMUSG00000038418.7;Egr1;5.534713432;2.63866E-06
ENSMUSG00000043953.12;Ccrl2;5.511704528;0.026348375
ENSMUSG00000032060.10;Cryab;5.503607364;0.001830765
ENSMUSG00000024737.2;Slc15a3;5.418207586;7.27443E-06
ENSMUSG00000026011.13;Ctla4;5.412405109;0.038918511
ENSMUSG00000039699.14;Batf2;5.405817539;0.00505332
ENSMUSG00000038943.16;Prc1;5.388226147;0.001716123
ENSMUSG00000044734.16;Serpinb1a;5.363464244;0.028145659
ENSMUSG00000021565.16;Slc6a19;5.351473817;0.00350816
ENSMUSG00000027469.16;Tpx2;5.337386652;0.000375343
ENSMUSG00000020241.13;Col6a2;5.293577915;0.01339817
ENSMUSG00000026070.15;Il18r1;5.253487264;0.039449124
ENSMUSG00000025574.13;Tk1;5.243872972;0.044985158
ENSMUSG00000039748.11;Exo1;5.240822232;0.040585989
ENSMUSG00000050288.6;Fzd2;5.235290945;0.04448727
ENSMUSG00000014846.12;Tppp3;5.218829374;0.016345434
ENSMUSG00000062661.6;Ncs1;5.210344924;0.00101165
ENSMUSG00000037477.8;Tbx10;5.193611186;0.02013166
ENSMUSG00000038239.11;Hrc;5.176829939;0.016629299
ENSMUSG00000058427.10;Cxcl2;5.125312672;0.000603909
ENSMUSG00000044244.18;Il20rb;5.116714607;0.000173964
ENSMUSG00000014599.10;Csf1;5.088703534;0.003788294
ENSMUSG00000032221.14;Mns1;5.043185715;0.019930313
ENSMUSG00000038729.24;Pakap;5.031014282;0.029250729
ENSMUSG00000054364.5;Rhob;4.996496847;1.7984E-05
ENSMUSG00000027611.12;Procr;4.994606117;0.000919269
ENSMUSG00000054342.8;Kcnn4;4.99334497;0.004258329
ENSMUSG00000057530.14;Ece1;4.991999314;0.003499835
ENSMUSG00000000386.16;Mx1;4.983139809;0.000367988
ENSMUSG00000046711.16;Hmga1;4.976725007;0.000232295
ENSMUSG00000009681.10;Bcr;4.973220295;1.39788E-05
ENSMUSG00000028927.6;Padi2;4.967392868;0.005705082
ENSMUSG00000024736.15;Tmem132a;4.939991576;0.00890431
ENSMUSG00000024664.5;Fads3;4.932611632;0.011696371
ENSMUSG00000054293.10;P2ry10b;4.904607398;0.009091264
ENSMUSG00000034765.6;Dusp5;4.851772663;0.000814903
ENSMUSG00000053338.9;Tarm1;4.845579947;0.019034789
ENSMUSG00000066677.12;Ifi208;4.837831384;0.009746171
ENSMUSG00000048922.18;Cdca2;4.835922223;0.023134771
ENSMUSG00000037411.10;Serpine1;4.814077776;0.001447733
ENSMUSG00000003849.8;Nqo1;4.797978801;0.002613196
ENSMUSG00000030231.11;Plekha5;4.785851466;0.011871939
ENSMUSG00000024940.11;Ltbp3;4.772996133;7.0717E-06
ENSMUSG00000022098.10;Bmp1;4.768224332;0.009641779
ENSMUSG00000047415.12;Gpr68;4.767853848;0.001183341
ENSMUSG00000027078.14;Ube2l6;4.767689276;0.011618119
ENSMUSG00000039997.16;Ifi203;4.75414554;0.000224412
ENSMUSG00000078853.8;Igtp;4.75400137;0.030516742
ENSMUSG00000033227.7;Wnt6;4.746041474;0.032412284
ENSMUSG00000034205.16;Loxl2;4.719292537;3.09527E-05
ENSMUSG00000068245.14;Phf11d;4.662033718;0.000198481
ENSMUSG00000037852.8;Cpe;4.651497121;0.038335107
ENSMUSG00000037280.12;Galnt6;4.642322528;0.000689736
ENSMUSG00000027281.16;Slx4ip;4.641422465;1.47364E-07
ENSMUSG00000050737.13;Ptges;4.619392245;0.014672898
ENSMUSG00000039196.2;Orm1;4.606131683;0.001589176
ENSMUSG00000026817.14;Ak1;4.598108398;0.024256207
ENSMUSG00000002602.16;Axl;4.534751654;0.012338389
ENSMUSG00000004951.10;Hspb1;4.528002995;0.010373781
ENSMUSG00000026683.14;Nuf2;4.506273206;0.036871332
ENSMUSG00000026204.15;Ptprn;4.489197258;0.027651598
ENSMUSG00000096887.2;Gm20594;4.477113067;0.000390575
ENSMUSG00000042842.11;Serpinb6b;4.468263767;0.025067479
ENSMUSG00000002068.16;Ccne1;4.450815601;0.001999824
ENSMUSG00000104713.4;Gbp6;4.450319491;0.004002514
ENSMUSG00000003882.5;Il7r;4.439126984;0.022075543
ENSMUSG00000030156.5;Cd69;4.425011527;0.024014298
